# omega_M, omega_L, omega_K
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.197799999999999754e-01 3.000000000000000000e+00
2.899399999999999755e-01 7.199200000000000044e-01 1.000000000000000000e+00
2.899399999999999755e-01 7.199200000000000044e-01 3.000000000000000000e+00
2.899399999999999755e-01 7.199200000000000044e-01 3.000000000000000000e+00
